,total_points_prev,current_gw,position_number,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,round,total_points,player_id
79,0.0,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,3
80,0.0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.900000000000002,0.0,3
81,0.0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,3
82,0.0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,3
83,0.0,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.900000000000002,0.0,3
84,0.0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,3
85,0.0,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900000000000002,0.0,3
86,0.0,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,3
87,0.0,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,3
88,0.0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.900000000000002,0.0,3
89,0.0,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,0.0,3
90,0.0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.900000000000002,0.0,3
91,0.0,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,3
92,0.0,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,3
93,0.0,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.900000000000006,0.0,3
94,0.0,36,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,3
95,0.0,37,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,3
96,6.0,6,2,0.0,0.0,0.7,7.5,0.4,0.0,3.6100000000000003,0.3,0.0,0.0,3.9000000000000004,4.6,4
97,0.0,7,2,0.0,0.0,0.85,7.35,0.3,0.0,3.055,0.15,0.0,0.0,4.8999999999999995,5.4,4
98,2.0,8,2,0.0,0.0,0.5499999999999999,4.449999999999999,0.15,0.0,1.885,0.1,0.0,0.0,5.9,3.4499999999999997,4
99,0.0,9,2,0.0,0.0,0.3,6.15,0.1,0.0,2.08,0.05,0.0,0.0,6.900000000000001,2.7,4
100,2.0,10,2,0.0,0.0,0.15000000000000002,7.250000000000001,0.45,0.0,2.755,0.4,0.0,0.0,7.9,1.5500000000000003,4
101,0.0,11,2,0.0,0.0,0.05,7.3999999999999995,0.3,0.0,3.12,0.3,0.0,0.0,8.9,1.4000000000000001,4
102,8.0,12,2,0.0,0.0,0.0,8.2,0.15,0.0,2.74,0.15,0.0,0.0,9.9,0.8,4
103,9.0,13,2,0.0,0.0,0.4,11.2,0.1,0.0,3.105,0.1,0.0,0.0,10.900000000000002,3.6,4
104,6.0,14,2,0.0,0.0,0.7,11.05,0.05,0.0,4.45,0.8500000000000001,0.0,0.0,11.9,6.2,4
105,0.0,15,2,0.0,0.0,0.85,9.350000000000001,0.0,0.0,3.93,0.6,0.0,0.0,12.9,6.3999999999999995,4
106,2.0,16,2,0.0,0.0,0.5499999999999999,8.35,0.0,0.0,4.404999999999999,1.1,0.0,0.0,13.899999999999999,3.9499999999999993,4
107,9.0,17,2,0.0,0.0,0.3,6.5,0.0,0.0,3.97,0.8,0.0,0.0,14.9,3.0,4
108,8.0,18,2,0.0,0.0,0.55,7.45,0.0,0.0,3.8049999999999997,0.7999999999999999,0.0,0.0,15.900000000000002,5.250000000000001,4
109,1.0,19,2,0.0,0.0,0.75,9.45,0.0,0.0,3.6700000000000004,0.5,0.0,0.0,16.900000000000002,6.5,4
110,1.0,20,2,0.0,0.0,0.44999999999999996,9.45,0.0,0.0,2.945,0.25,0.0,0.0,17.900000000000002,4.35,4
111,9.0,21,2,0.0,0.0,0.25,8.1,0.0,0.0,2.4650000000000003,0.1,0.0,0.0,18.9,2.9,4
112,0.0,22,2,0.0,0.0,0.55,8.45,0.0,0.0,2.58,0.05,0.0,0.0,19.900000000000002,5.3,4
113,0.0,23,2,0.0,0.0,0.35,5.1,0.0,0.0,1.52,0.0,0.0,0.0,20.9,3.3499999999999996,4
114,10.0,24,2,0.0,0.0,0.15,2.4,0.0,0.0,0.725,0.0,0.0,0.0,21.9,1.5,4
115,1.0,25,2,0.0,0.0,0.1,6.800000000000001,0.0,0.0,4.545000000000001,0.0,0.0,0.0,22.900000000000002,4.95,4
116,7.0,26,2,0.0,0.0,0.05,6.65,0.0,0.0,4.38,0.0,0.0,0.0,23.9,3.85,4
117,2.0,27,2,0.0,0.0,0.0,8.4,0.0,0.0,6.120000000000001,0.0,0.0,0.0,24.900000000000002,4.6,4
118,1.0,28,2,0.0,0.0,0.0,7.75,0.0,0.0,4.77,0.0,0.0,0.0,25.9,4.050000000000001,4
119,1.0,29,2,0.0,0.0,0.0,6.9,0.0,0.0,3.865,0.0,0.0,0.0,26.9,2.65,4
120,0.0,30,2,0.0,0.0,0.0,5.2,0.0,0.0,3.5050000000000003,0.0,0.0,0.0,27.900000000000002,1.7500000000000002,4
121,0.0,31,2,0.0,0.0,0.0,2.9,0.0,0.0,2.035,0.0,0.0,0.0,28.9,1.0,4
122,0.0,32,2,0.0,0.0,0.0,1.3,0.0,0.0,0.865,0.0,0.0,0.0,29.900000000000002,0.35,4
123,0.0,33,2,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.4800000000000001,0.0,0.0,0.0,30.9,0.15000000000000002,4
124,2.0,34,2,0.0,0.0,0.0,0.15000000000000002,0.0,0.0,0.16000000000000003,0.0,0.0,0.0,31.9,0.05,4
125,0.0,35,2,0.0,0.0,0.0,2.8000000000000003,0.0,0.0,1.1199999999999999,0.0,0.0,0.0,32.900000000000006,0.8,4
126,0.0,36,2,0.0,0.0,0.0,2.1,0.0,0.0,0.84,0.0,0.0,0.0,33.9,0.6,4
127,0.0,37,2,0.0,0.0,0.0,1.05,0.0,0.0,0.42,0.0,0.0,0.0,34.9,0.3,4
128,0.0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,0.0,5
