,total_points_prev,current_gw,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,position_number,total_points,prediction
243,2,26,0.35,0.15,0.15,3.15,0.25,0,4.51,0.9,0,0,2,3.25,3.387078524
244,8,27,0.55,0,0.1,3.7,0.1,0,4.7,1.2,0,0,2,2.5,3.914185524
245,4,28,0.4,0.4,0.45,4.45,0.45,0,6.57,1.6,0,0,2,4.75,5.346619606
246,0,29,0.6,0.3,0.3,2.6,0.3,0,6.51,1.75,0,0,2,4.65,4.781887531
247,5,30,0.4,0.15,0.15,1.25,0.15,0,3.865,1.1,0,0,2,2.65,2.975245476
248,5,31,0.2,0.1,0.5,1.15,0.1,0,2.655,0.6,0,0,2,3.5,2.640519857
249,1,32,0.1,0.45,0.75,0.95,0.45,0,3.2,0.7,0,0,2,4.3,3.102409601
250,0,33,0.05,0.3,0.45,0.85,0.7,0,2.245,0.4,0,0,2,2.85,1.995163798
251,1,34,0,0.15,0.25,0.55,0.45,0,1.115,0.15,0,0,2,1.55,1.135103822
252,1,35,0,0.1,0.15,0.7,0.65,0,2.465,0.5,0,0,2,1.3,1.654033422
253,1,36,0,0.05,0.05,0.45,0.45,0,1.715,0.35,0,0,2,1.05,1.112891793
254,1,37,0,0,0,1.8,0.6,0,2,0.55,0,0,2,0.9,1.273525596
255,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
256,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
257,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
258,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
259,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
260,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
261,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
262,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
263,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
264,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
265,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
266,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
267,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
268,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
269,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
270,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
271,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
272,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
273,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
274,1,25,0,0,0,0,0,0,0,0,0,0,2,0,0.137544721
275,0,26,0,0,0,0.4,0.4,0,0.16,0,0,0,2,0.4,0.199317321
276,0,27,0,0,0,0.3,0.3,0,0.12,0,0,0,2,0.3,0.175698489
277,0,28,0,0,0,0.15,0.15,0,0.06,0,0,0,2,0.15,0.139180705
278,0,29,0,0,0,0.1,0.1,0,0.04,0,0,0,2,0.1,0.128460839
279,0,30,0,0,0,0.05,0.05,0,0.02,0,0,0,2,0.05,0.125058204
280,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
281,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
282,1,33,0,0,0,0,0,0,0,0,0,0,2,0,0.154977456
283,0,34,0,0,0,2.8,0,0,0.72,0,0,0,2,0.4,0.701589704
284,0,35,0,0.4,0,3.3,0.4,0,1.66,0.4,0,0,2,0.3,1.263955474
285,0,36,0,0.3,0,1.95,0.3,0,1.11,0.3,0,0,2,0.15,0.849324584
286,0,37,0,0.15,0,1.15,0.15,0,0.6,0.15,0,0,2,0.1,0.502751112
287,0,6,0,0,0,0,0,0,0.045,0,0,0,2,0.05,0.125058204
288,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
289,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
290,2,9,0,0,0,0,0,0,0,0,0,0,2,0,0.153605103
291,0,10,0,0,0,0.4,0,0,0.12,0,0,0,2,0.8,0.132196307
292,0,11,0,0,0,2.3,0,0,1.01,0.4,0,0,2,0.6,0.684613824
293,0,12,0,0,0,1.65,0,0,0.735,0.3,0,0,2,0.3,0.503541231
294,0,13,0,0,0,0.85,0,0,0.375,0.15,0,0,2,0.2,0.274470627
295,0,14,0,0,0,0.55,0,0,0.245,0.1,0,0,2,0.1,0.191027299
296,1,15,0,0,0,0.25,0,0,0.115,0.05,0,0,2,0,0.17233558
297,0,16,0,0,0,2,0,0,0.76,0,0,0,2,0.4,0.617375255
298,1,17,0,0,0,2.3,0,0,0.65,0,0,0,2,0.3,0.652711987
299,1,18,0,0,0,2.55,0,0,0.865,0,0,0,2,0.55,0.790477514
300,2,19,0,0,0,2.1,0.4,0,1.13,0,0,0,2,0.8,0.975125313
