,total_points_prev,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,total_points
144,0,0,0,0.4,1.2,0.4,0,1.92,0.4,0,0,2
145,0,0,0,0.3,0.9,0.3,0,1.44,0.3,0,0,1.5
146,0,0,0,0.15,0.45,0.15,0,0.72,0.15,0,0,0.75
147,0,0,0,0.1,0.3,0.1,0,0.48,0.1,0,0,0.5
148,0,0,0,0.05,0.15,0.05,0,0.24,0.05,0,0,0.25
149,8,0,0,0,0,0,0,0,0,0,0,0
150,1,0,0,0.4,2.4,1.2,0,1.68,0.4,0,0,3.2
151,6,0,0,0.3,2.6,1.7,0,3.02,0.3,0,0,2.8
152,7,0,0,0.55,3.1,2.25,0,3.23,0.15,0,0,3.9
153,0,0,0,0.8,4.5,1.9,0,3.12,0.1,0,0,5.55
154,6,0,0,0.5,2.9,1.1,0,1.94,0.05,0,0,3.5
155,1,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0.4,0,0,0.08,0,0,0,0.4
157,0,0,0,0,0.3,0,0,0.06,0,0,0,0.3
158,0,0,0,0,0.15,0,0,0.03,0,0,0,0.15
159,0,0,0,0,0.1,0,0,0.02,0,0,0,0.1
160,0,0,0,0,0.05,0,0,0.01,0,0,0,0.05
161,2,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,2.8,0,0,0.84,0,0,0,0.8
163,0,0,0,0,2.1,0,0,0.63,0,0,0,0.6
164,0,0,0,0,1.05,0,0,0.315,0,0,0,0.3
165,0,0,0,0,0.7,0,0,0.21,0,0,0,0.2
166,0,0,0,0,0.35,0,0,0.105,0,0,0,0.1
167,6,0,0,0.1,6.7,0.2,0,3.095,0.4,0,0,2.3
168,7,0,0,0.45,6.55,0.9,0,2.52,0.2,0,0,3.8
169,1,0,0,0.7,6.3,0.65,0,2.405,0.1,0,0,5.1
170,6,0,0,0.45,7.35,0.3,0,3.245,0.45,0,0,3.65
171,0,0,0,0.65,6.55,0.2,0,2.955,0.3,0,0,4.45
172,2,0,0,0.45,3.8,0.1,0,1.73,0.15,0,0,2.95
173,2,0,0,0.2,5.15,0,0,1.925,0.1,0,0,2.15
174,5,0,0,0.1,6.15,0,0,1.775,0.05,0,0,2.05
175,2,0.4,0.4,0.05,5.55,0.4,0,2.955,0.4,0,0,3.2
176,2,0.3,0.7,0,4.55,0.3,0,3.27,0.7,0,0,2.8
177,1,0.15,0.45,0,5.15,0.15,0,2.87,0.45,0,0,2.45
178,1,0.1,0.25,0,5.1,0.5,0,3.68,0.65,0,0,1.9
179,1,0.05,0.15,0,7.75,0.75,0,4.135,0.85,0,0,1.45
180,5,0,0.05,0,7.1,0.45,0,2.755,0.5,0,0,1.15
181,1,0,0,0.4,5.7,0.25,0,2.54,0.25,0,0,2.65
182,6,0,0,0.3,4.2,0.95,0,2.305,0.15,0,0,2.2
183,2,0,0,0.55,5.5,0.65,0,1.99,0.05,0,0,3.6
184,0,0,0,0.4,4.15,0.3,0,2.74,0.4,0,0,3.3
185,6,0,0,0.2,3.4,0.6,0,2.635,0.3,0,0,1.85
186,0,0.4,0.4,0.1,2.5,0.8,0,3.75,0.55,0,0,3.35
187,1,0.3,0.3,0.05,1.35,0.45,0,2.49,0.4,0,0,2.3
188,1,0.15,0.15,0,2.95,0.25,0,2.77,0.6,0,0,1.4
189,1,0.1,0.1,0,4.45,0.15,0,4.045,0.4,0,0,1.3
190,6,0.05,0.05,0,6.75,0.45,0,3.49,0.2,0,0,1.15
191,1,0,0,0.4,5.3,0.3,0,2.66,0.1,0,0,2.95
192,2,0,0,0.3,3.8,0.15,0,2.61,0.45,0,0,2.5
193,12,0,0,0.15,4.6,0.1,0,2.75,0.3,0,0,2.15
194,0,0.4,0,0.5,4,0.05,0,2.55,0.15,0,0,6.2
195,6,0.3,0,0.35,2.9,0,0,2.075,0.1,0,0,4.3
196,6,0.15,0,0.55,2.95,0,0,1.93,0.05,0,0,4.45
197,2,0.1,0,0.8,5,0,0,2.425,0,0,0,5.5
198,5,0.05,0,0.5,4.4,0.4,0,2.61,0,0,0,4.1
199,1,0,0,0,0.3,0,0,0.38,0,0,0,0.3
200,2,0,0,0,6.8,0,0,1.56,0,0,0,0.4
201,2,0,0,0,9.1,0,0,2.21,0,0,0,1.1
202,0,0,0,0,7.55,0,0,2.205,0,0,0,1.55
203,5,0,0,0,4.7,0,0,1.41,0,0,0,1
204,2,0,0,0.4,8.2,0,0,2.05,0,0,0,2.55
205,1,0,0,0.3,10.4,0.4,0,2.14,0,0,0,2.6
206,0,0,0,0.15,8.25,0.3,0,1.855,0,0,0,1.85
207,7,0,0,0.1,10.85,0.15,0,1.875,0,0,0,1.1
208,2,0,0,0.45,9.25,0.1,0,2.18,0,0,0,3.4
209,1,0,0,0.3,10.9,0.05,0,2.5,0,0,0,3.1
210,6,0,0,0.15,9,0,0,2.385,0,0,0,2.1
211,2,0,0,0.5,10.2,0,0,2.465,0,0,0,3.7
212,0,0,0,0.35,10.8,0.4,0,2.6,0,0,0,3.3
213,8,0,0,0.15,11.3,0.7,0,2.76,0,0,0,1.7
214,7,0,0,0.5,12.8,0.45,0,3.07,0,0,0,4.15
215,5,0,0,0.75,12.85,0.25,0,2.9,0,0,0,5.7
216,0,0.4,0.4,0.45,9.2,0.15,0,5.11,0.8,0,0,5.4
217,2,0.3,0.3,0.25,5.1,0.05,0,3.425,0.6,0,0,3.35
218,7,0.15,0.15,0.15,7.75,0.8,0,4.38,1.1,0,0,2.65
219,0,0.1,0.1,0.45,5.7,0.6,0,4.585,1.2,0,0,4.25
220,0,0.05,0.05,0.3,2.75,0.3,0,2.63,0.7,0,0,2.65
221,0,0,0,0.15,1.6,0.2,0,1.27,0.35,0,0,1.25
222,0,0,0,0.1,0.85,0.1,0,0.735,0.2,0,0,0.8
223,0,0,0,0.05,0.1,0,0,0.2,0.05,0,0,0.35
224,6,0,0,0,2,0,0,1.04,0.4,0,0,0
225,8,0,0,0.4,5.5,0,0,1.42,0.3,0,0,2.4
226,1,0,0,0.3,10.15,0,0,4.67,0.15,0,0,5
227,1,0,0,0.15,10.4,0,0,3.99,0.1,0,0,3.7
228,14,0.3,0.15,0.1,0.65,1.2,0,14.075,1.6,0.4,0,7.1
229,3,0.6,0.1,0.45,1.25,1.2,0,15.15,1.8,0.3,0,10.5
230,5,0.4,0.05,0.7,0.8,3.05,0,17.105,4.25,0.15,0,7.8
231,3,0.55,0.4,0.45,0.8,3.75,0,13.82,3.35,0.1,0,6.05
232,13,0.4,0.3,0.65,0.55,3.1,0,10.355,1.8,0.05,0,5.05
233,2,0.2,0.15,0.45,0.65,3.85,0,11.895,1.45,0,0,7.85
234,1,0.1,0.1,0.2,0.4,2.5,0,10.85,2.4,0,0,5.8
235,14,0.05,0.05,0.1,0.6,2.75,0,7.425,1.8,0,0,3.5
236,23,0,0,0.05,0.4,2.6,0,13.92,3,0,0,7.65
237,5,0.4,0.8,0,0.2,2.65,0,19.555,4.1,0,0,14.4
238,7,0.7,0.6,0,0.5,1.6,0,16.655,4.55,0,0,11.2
239,5,0.45,0.3,0,0.75,1.25,0,14.67,4,0,0,9.2
240,3,0.65,0.6,0,0.85,2.7,0,10.515,2.8,0,0,7.85
241,6,0.45,0.4,0.4,0.55,2.6,0,13.025,2.3,0,0,5.4
242,7,0.6,0.15,0.7,0.7,3.05,0,16.91,3.3,0,0,5
243,11,0.4,0.1,0.45,0.85,2.85,0,16.535,3.25,0,0,5.9
244,8,0.2,0.45,0.65,0.5,2.45,0,16.33,2.7,0,0,7.95
245,4,0.1,0.3,0.45,1.05,3.4,0,16.935,2.85,0,0,8.3
246,2,0.45,0.15,0.2,1.55,3.8,0,13.365,2.15,0,0,6.65
247,15,0.3,0.1,0.1,1.35,4.25,0,8.28,1.1,0,0,4.65
248,4,0.15,0.45,0.45,1.2,4.3,0,14.49,1.75,0,0,8.55
249,9,0.5,0.7,0.3,0.75,2.6,0,11.735,1.55,0,0,7.2
250,2,0.35,0.45,0.15,0.35,1.7,0,10.165,1.2,0,0,7.45
251,3,0.15,0.25,0.1,2.15,3.75,0,8.255,1.55,0,0,5.7
252,2,0.1,0.55,0.45,1.55,3.25,0,7.875,2.2,0,0,4.3
253,7,0.05,0.35,0.3,1.55,3.75,0,8.415,1.75,0,0,3.1
254,2,0,0.15,0.15,1.9,2.55,0,9.51,1.4,0,0,4.5
255,2,0,0.1,0.5,1.15,1.3,0,6.82,0.85,0,0,3.6
256,3,0,0.05,0.35,0.9,2.2,0,7.975,1.2,0,0,2.8
257,11,0,0.4,0.55,0.6,2.25,0,7.815,1.15,0,0,2.9
258,12,0,0.3,0.8,0.65,4.4,0,8.08,0.65,0,0,6.15
259,15,0.4,0.55,0.5,1.2,5.1,0,9.19,0.75,0,0,8.85
260,8,0.55,0.4,0.1,1.25,1,0,10.77,1.4,0.05,0,7.1
261,6,0.4,0.3,0.45,0.75,1.4,0,10.785,0.9,0,0,8.05
262,13,0.6,0.55,0.7,1.5,2.1,0,9.85,1.25,0,0,7.2
263,3,0.4,0.4,0.45,1,1.35,0,13.39,1.25,0,0,9.6
264,0,0.2,0.2,0.65,1.7,3.1,0,13.195,1.1,0,0,7.45
265,2,0.1,0.1,0.45,1.2,2.2,0,7.555,0.65,0,0,3.85
266,2,0.05,0.05,0.2,1,1.05,0,4.525,0.35,0,0,2.85
267,9,0,0,0.1,1.4,1,0,3.89,0.55,0,0,2.35
268,3,0,0,0.05,1.7,1.4,0,5.48,0.35,0,0,4.65
269,7,0,0,0.4,1,1.55,0,4.56,0.15,0,0,4.4
270,2,0,0,0.3,0.55,2.6,0,10.5,0.1,0,0,5.35
271,7,0,0,0.15,0.7,1.75,0,7.765,0.05,0,0,4.35
272,0,0,0,0.1,1.2,0.9,0,6.275,0,0,0,5.2
273,0,0,0,0.05,0.75,0.5,0,3.98,0,0,0,3.25
274,0,0,0,0,0.4,0.2,0,1.94,0,0,0,1.6
275,0,0,0,0,0.25,0,0,0.625,0,0,0,0.8
