first_name second_name,second_name,id
Marcus Bettinelli,Bettinelli,178
Tim Ream,Ream,180
Denis Odoi,Odoi,181
Tom Cairney,Cairney,182
Kevin McDonald,McDonald,183
Ryan Sessegnon,Sessegnon,184
Stefan Johansen,Johansen,185
Floyd Ayité,Ayité,186
Neeskens Kebano,Kebano,187
Rui Pedro da Rocha Fonte,da Rocha Fonte,188
Aboubakar Kamara,Kamara,189
Maxime Le Marchand,Le Marchand,455
Jean Michael Seri,Seri,456
Cyrus Christie,Christie,460
Fabricio Agosto Ramírez,Agosto Ramírez,474
André Schürrle,Schürrle,478
Aleksandar Mitrovic,Mitrovic,480
Alfie Mawson,Mawson,487
Sergio Rico,Rico,509
Joe Bryan,Bryan,510
Timothy Fosu-Mensah,Fosu-Mensah,511
André-Frank Zambo Anguissa,Zambo Anguissa,512
Luciano Vietto,Vietto,513
Ibrahima Cissé,Cissé,521
Zeze Steven Sessegnon,Sessegnon,541
Ryan Babel,Babel,575
Håvard Nordtveit,Nordtveit,593
Lazar Markovic,Markovic,594
Harvey Elliott,Elliott,610
Luca De La Torre,De La Torre,621
Jason Puncheon,Puncheon,146
Ben Hamer,Hamer,190
Jonas Lössl,Lössl,191
Christopher Schindler,Schindler,192
Chris Löwe,Löwe,193
Tommy Smith,Smith,194
Mathias Jorgensen,Jorgensen,195
Scott Malone,Malone,196
Florent Hadergjonaj,Hadergjonaj,197
Terence Kongolo,Kongolo,198
Aaron Mooy,Mooy,199
Rajiv van La Parra,van La Parra,200
Jonathan Hogg,Hogg,201
Philip Billing,Billing,202
Tom Ince,Ince,203
Danny Williams,Williams,204
Abdelhamid Sabiri,Sabiri,205
Alex Pritchard,Pritchard,206
Ramadan Sobhi,Sobhi,207
Juninho Bacuna,Bacuna,208
Collin Quaner,Quaner,209
Laurent Depoitre,Depoitre,210
Steve Mounie,Mounie,211
Elias Kachunga,Kachunga,212
Erik Durm,Durm,461
Adama Diakhaby,Diakhaby,471
Isaac Mbenza,Mbenza,514
Jon Gorenc Stankovic,Stankovic,522
Ryan Schofield,Schofield,533
Karlan Grant,Grant,585
Joel Coleman,Coleman,598
Demeaco Duhaney,Duhaney,601
Matthew Daly,Daly,606
Aaron Rowe,Rowe,607
Kasper Schmeichel,Schmeichel,213
Eldin Jakupovic,Jakupovic,214
Wes Morgan,Morgan,215
Christian Fuchs,Fuchs,216
Danny Simpson,Simpson,217
Yohan Benalouane,Benalouane,218
Benjamin Chilwell,Chilwell,219
